Date,Open,High,Low,Close,Volume
2018-01-03,16.219999,16.219999,15.96,16.0,324700.0
2018-01-04,16.1,16.1,15.5,15.5,1087600.0
2018-01-05,15.62,15.7,15.52,15.6,2674900.0
2018-01-08,15.54,15.9,15.54,15.68,25200.0
2018-01-09,15.68,15.68,15.52,15.6,139700.0
2018-01-10,15.54,15.8,15.54,15.78,2281200.0
2018-01-11,15.86,15.86,15.5,15.54,634900.0
2018-01-12,15.54,15.54,15.34,15.5,3192300.0
2018-01-15,15.5,15.86,15.46,15.78,604700.0
2018-01-16,15.8,16.200001,15.62,15.78,804900.0
2018-01-17,15.8,16.02,15.78,15.78,1326200.0
2018-01-18,15.78,16.139999,15.78,16.139999,242100.0
2018-01-19,16.139999,16.219999,16.0,16.18,1456400.0
2018-01-22,16.18,16.18,16.02,16.1,344000.0
2018-01-23,16.1,16.16,16.1,16.139999,1524400.0
2018-01-24,16.02,16.18,16.02,16.1,942200.0
2018-01-25,16.1,16.18,16.1,16.120001,1378700.0
2018-01-26,16.120001,16.299999,16.120001,16.24,216600.0
2018-01-29,16.26,16.5,16.120001,16.18,570100.0
2018-01-30,16.1,16.120001,15.7,16.0,457300.0
2018-01-31,16.0,16.0,15.62,15.62,411100.0
2018-02-01,15.6,15.8,15.54,15.8,525100.0
2018-02-02,15.88,15.88,15.8,15.8,1515600.0
2018-02-05,15.74,15.74,15.4,15.5,1054200.0
2018-02-06,15.44,15.44,14.08,14.8,2557900.0
2018-02-07,14.9,15.44,14.9,15.2,1572900.0
2018-02-08,15.3,15.38,15.2,15.28,57800.0
2018-02-09,15.18,15.22,15.18,15.22,206100.0
2018-02-12,15.22,15.36,15.22,15.3,1005800.0
2018-02-13,15.36,15.36,15.3,15.32,588600.0
2018-02-14,15.3,15.4,15.3,15.32,916200.0
2018-02-15,15.4,15.8,15.4,15.7,538900.0
2018-02-19,15.8,15.8,15.7,15.8,6135200.0
2018-02-20,15.82,16.1,15.82,16.0,610800.0
2018-02-21,16.0,16.1,15.9,16.0,2914300.0
2018-02-22,16.0,16.18,16.0,16.16,1110400.0
2018-02-23,16.16,16.16,16.0,16.0,692900.0
2018-02-26,16.0,16.1,15.94,16.1,543800.0
2018-02-27,16.1,16.120001,16.059999,16.120001,3472400.0
2018-02-28,16.0,16.24,16.0,16.24,843300.0
2018-03-01,16.1,16.219999,16.1,16.219999,70200.0
2018-03-02,16.1,16.200001,16.1,16.200001,880000.0
2018-03-05,16.219999,16.219999,16.1,16.219999,76800.0
2018-03-06,16.24,16.68,16.200001,16.639999,2135400.0
2018-03-07,16.66,16.860001,16.66,16.860001,4719400.0
2018-03-08,16.9,17.200001,16.860001,17.200001,2829400.0
2018-03-09,17.200001,17.34,17.18,17.299999,1893800.0
2018-03-12,17.299999,17.4,17.299999,17.34,2897200.0
2018-03-13,17.120001,17.379999,17.120001,17.24,3049500.0
2018-03-14,17.24,17.719999,17.24,17.4,2612300.0
2018-03-15,17.4,17.5,17.02,17.4,1066600.0
2018-03-16,17.440001,17.799999,17.440001,17.6,2666200.0
2018-03-19,17.68,17.68,17.4,17.6,581000.0
2018-03-20,17.6,17.6,17.4,17.58,705400.0
2018-03-21,17.58,17.6,17.0,17.52,2316300.0
2018-03-22,17.42,17.540001,17.299999,17.540001,374000.0
2018-03-23,17.540001,17.540001,17.200001,17.32,184400.0
2018-03-26,17.280001,17.5,16.620001,17.0,1341200.0
2018-03-27,17.0,17.1,16.82,17.059999,995500.0
2018-03-28,17.1,17.1,16.98,17.08,2969300.0
2018-04-02,17.08,17.08,16.34,17.0,219600.0
2018-04-03,17.0,17.1,17.0,17.0,148100.0
2018-04-04,17.0,17.200001,16.959999,17.0,1616700.0
2018-04-05,17.0,17.18,17.0,17.18,280600.0
2018-04-06,17.18,17.18,17.0,17.18,1102900.0
2018-04-10,17.18,17.18,16.98,17.08,657700.0
2018-04-11,16.639999,16.959999,16.639999,16.9,868000.0
2018-04-12,16.879999,16.92,16.780001,16.799999,1592500.0
2018-04-13,17.0,17.0,16.639999,16.66,348100.0
2018-04-16,16.639999,16.639999,16.32,16.42,369300.0
2018-04-17,16.299999,16.299999,16.02,16.26,105000.0
2018-04-18,16.1,16.5,16.1,16.200001,4430400.0
