Date,Open,High,Low,Close,Volume
2018-01-03,106.5,108.3,105.5,108.0,1154010.0
2018-01-04,108.0,108.0,106.4,107.0,453560.0
2018-01-05,107.0,111.1,107.0,107.0,2730470.0
2018-01-08,108.0,109.2,107.6,107.8,675840.0
2018-01-09,108.0,111.0,108.0,110.5,899190.0
2018-01-10,108.0,112.4,107.9,112.0,1003570.0
2018-01-11,112.0,112.0,109.6,110.7,1320530.0
2018-01-12,110.7,112.0,108.5,108.5,1308790.0
2018-01-15,108.5,112.0,107.0,112.0,370500.0
2018-01-16,111.8,114.0,109.2,109.2,1472820.0
2018-01-17,109.3,112.9,109.3,111.0,532270.0
2018-01-18,112.6,112.6,111.0,111.8,496950.0
2018-01-19,111.7,112.7,111.4,112.0,389140.0
2018-01-22,112.0,115.0,111.5,112.8,757810.0
2018-01-23,113.9,113.9,112.1,113.0,346060.0
2018-01-24,114.0,114.0,110.0,110.1,771010.0
2018-01-25,110.1,113.5,109.5,113.5,798170.0
2018-01-26,113.5,113.5,112.0,113.0,597680.0
2018-01-29,111.0,114.0,111.0,112.0,1657910.0
2018-01-30,112.0,112.0,110.0,110.0,1229570.0
2018-01-31,109.9,113.5,108.9,113.5,961670.0
2018-02-01,112.7,112.7,110.0,110.8,1096440.0
2018-02-02,110.9,112.0,110.0,110.0,608280.0
2018-02-05,108.6,109.5,106.8,109.5,1343710.0
2018-02-06,107.9,110.0,106.0,109.9,1347330.0
2018-02-07,110.0,111.9,108.0,111.0,589490.0
2018-02-08,112.0,112.0,109.9,111.0,360120.0
2018-02-09,110.0,110.5,107.5,110.5,616990.0
2018-02-12,110.5,111.0,108.1,110.0,612100.0
2018-02-13,109.9,110.5,108.6,110.4,969150.0
2018-02-14,109.9,110.0,108.2,110.0,377870.0
2018-02-15,110.0,110.0,109.2,110.0,485660.0
2018-02-19,109.9,111.1,109.9,110.4,787560.0
2018-02-20,110.4,110.4,109.9,110.0,1708660.0
2018-02-21,110.0,111.4,109.9,109.9,500540.0
2018-02-22,111.0,111.0,108.0,109.9,1284710.0
2018-02-23,109.9,110.3,109.8,110.0,1427190.0
2018-02-26,110.0,110.0,108.0,109.9,919930.0
2018-02-27,109.9,111.7,109.9,110.7,776590.0
2018-02-28,110.0,111.8,110.0,110.0,1227760.0
