Date,Open,High,Low,Close,Volume
2018-01-03,5.19,5.33,5.16,5.28,33917400.0
2018-01-04,5.28,5.32,5.21,5.25,20271800.0
2018-01-05,5.24,5.34,5.21,5.3,37104500.0
2018-01-08,5.3,5.3,5.17,5.22,19697700.0
2018-01-09,5.24,5.32,5.2,5.26,18092900.0
2018-01-10,5.25,5.25,5.18,5.2,17974600.0
2018-01-11,5.2,5.22,5.05,5.14,37180400.0
2018-01-12,5.14,5.14,5.02,5.1,36556200.0
2018-01-15,5.1,5.11,4.87,4.88,90536500.0
2018-01-16,4.91,5.04,4.89,5.0,47959000.0
2018-01-17,5.01,5.02,4.8,4.8,47532900.0
2018-01-18,4.83,4.96,4.83,4.95,53722000.0
2018-01-19,4.97,5.13,4.95,5.13,35320000.0
2018-01-22,5.13,5.13,4.97,5.0,15821200.0
2018-01-23,5.01,5.06,4.92,4.99,27501100.0
2018-01-24,5.0,5.06,4.99,5.04,16426000.0
2018-01-25,5.04,5.13,5.04,5.08,36014300.0
2018-01-26,5.1,5.11,5.04,5.05,45321800.0
2018-01-29,5.08,5.08,5.0,5.06,37181600.0
2018-01-30,5.05,5.05,4.96,4.96,45209100.0
2018-01-31,4.88,4.97,4.83,4.95,25856000.0
2018-02-01,4.95,5.0,4.9,4.9,14921000.0
2018-02-02,4.9,4.98,4.9,4.96,50066000.0
2018-02-05,4.94,4.94,4.72,4.85,30407000.0
2018-02-06,4.79,4.95,4.7,4.95,21292000.0
2018-02-07,4.95,5.01,4.95,4.99,27501000.0
2018-02-08,5.0,5.02,4.89,5.0,32417000.0
2018-02-09,4.94,4.95,4.81,4.9,33732900.0
2018-02-12,4.9,4.93,4.88,4.89,27552000.0
2018-02-13,4.92,4.95,4.89,4.91,40751000.0
2018-02-14,4.9,4.91,4.85,4.9,39144000.0
2018-02-15,4.89,4.89,4.77,4.8,19454000.0
2018-02-19,4.81,4.88,4.79,4.85,13320000.0
2018-02-20,4.85,4.88,4.8,4.88,16469000.0
2018-02-21,4.86,4.88,4.71,4.72,39157000.0
2018-02-22,4.72,4.76,4.72,4.75,18506000.0
2018-02-23,4.75,4.76,4.71,4.75,26554000.0
2018-02-26,4.75,4.75,4.5,4.6,29953000.0
2018-02-27,4.61,4.8,4.61,4.8,19622000.0
2018-02-28,4.8,4.85,4.68,4.85,29465000.0
2018-03-01,4.84,4.88,4.77,4.85,22457000.0
2018-03-02,4.8,4.85,4.76,4.83,10261000.0
2018-03-05,4.8,4.83,4.78,4.83,6489000.0
2018-03-06,4.83,4.83,4.79,4.8,36560000.0
2018-03-07,4.8,4.8,4.72,4.74,28337000.0
2018-03-08,4.74,4.9,4.74,4.8,11363000.0
2018-03-09,4.83,4.83,4.76,4.8,17218000.0
2018-03-12,4.83,4.87,4.83,4.85,19453000.0
2018-03-13,4.87,4.89,4.83,4.84,11991000.0
2018-03-14,4.84,4.86,4.7,4.73,20344000.0
2018-03-15,4.75,4.8,4.74,4.75,25456000.0
2018-03-16,4.75,4.9,4.75,4.9,24244000.0
2018-03-19,4.9,4.9,4.77,4.83,55496000.0
2018-03-20,4.84,4.84,4.7,4.72,8001000.0
2018-03-21,4.75,4.8,4.61,4.64,27234000.0
2018-03-22,4.64,4.78,4.64,4.76,19740000.0
2018-03-23,4.75,4.75,4.65,4.66,7310000.0
2018-03-26,4.68,4.7,4.53,4.53,7600000.0
2018-03-27,4.61,4.68,4.61,4.63,8735000.0
2018-03-28,4.69,4.75,4.68,4.69,13148000.0
2018-04-02,4.68,4.79,4.6,4.79,11894000.0
2018-04-03,4.7,4.72,4.6,4.6,8940000.0
2018-04-04,4.69,4.74,4.63,4.65,13108000.0
2018-04-05,4.71,4.72,4.58,4.6,7311000.0
2018-04-06,4.69,4.69,4.52,4.52,14316000.0
2018-04-10,4.58,4.62,4.5,4.5,24469000.0
2018-04-11,4.59,4.61,4.56,4.6,9069000.0
2018-04-12,4.6,4.7,4.6,4.7,12460000.0
2018-04-13,4.7,4.71,4.65,4.65,13665000.0
2018-04-16,4.65,4.69,4.55,4.63,10318000.0
2018-04-17,4.64,4.66,4.34,4.4,23899000.0
2018-04-18,4.4,4.5,4.4,4.5,12379000.0
2018-04-19,4.4,4.48,4.22,4.28,53051000.0
2018-04-20,4.3,4.41,4.29,4.4,16092000.0
2018-04-23,4.4,4.43,4.28,4.3,9025000.0
2018-04-24,4.3,4.42,4.22,4.25,8241000.0
2018-04-25,4.26,4.35,4.21,4.25,29948000.0
2018-04-26,4.36,4.38,4.29,4.31,5201000.0
2018-04-27,4.32,4.5,4.32,4.38,14816000.0
2018-04-30,4.43,4.5,4.38,4.5,9908000.0
2018-05-02,4.5,4.55,4.47,4.52,17548000.0
2018-05-03,4.53,4.54,4.36,4.36,6687000.0
2018-05-04,4.46,4.46,4.25,4.31,11288000.0
2018-05-07,4.37,4.4,4.25,4.25,3784000.0
2018-05-08,4.26,4.35,4.21,4.25,10094000.0
2018-05-09,4.25,4.34,4.23,4.29,13926000.0
2018-05-10,4.29,4.38,4.27,4.27,12220000.0
2018-05-11,4.36,4.5,4.32,4.32,21740000.0
2018-05-15,4.4,4.65,4.38,4.65,33461000.0
2018-05-16,4.67,4.78,4.55,4.75,29512000.0
2018-05-17,4.75,4.82,4.66,4.66,26576000.0
2018-05-18,4.7,4.7,4.47,4.53,21415000.0
2018-05-21,4.55,4.65,4.55,4.59,5016000.0
2018-05-22,4.59,4.72,4.59,4.68,10701000.0
2018-05-23,4.71,4.77,4.62,4.74,15820000.0
2018-05-24,4.74,4.82,4.66,4.82,14935000.0
2018-05-25,4.82,4.82,4.71,4.71,5128000.0
2018-05-28,4.72,4.75,4.66,4.75,2364000.0
2018-05-29,4.75,4.81,4.73,4.8,8850000.0
2018-05-30,4.79,4.79,4.54,4.55,17454000.0
2018-05-31,4.57,4.86,4.57,4.86,48783000.0
2018-06-01,4.83,4.91,4.76,4.9,17742000.0
2018-06-04,4.91,4.92,4.85,4.92,6967000.0
2018-06-05,4.93,4.98,4.87,4.9,35335000.0
2018-06-06,4.9,4.94,4.77,4.87,24573000.0
2018-06-07,4.88,4.92,4.81,4.9,27939000.0
2018-06-08,4.89,4.94,4.85,4.9,23642000.0
2018-06-11,4.9,4.92,4.78,4.78,8813000.0
2018-06-13,4.8,4.83,4.62,4.7,29412000.0
2018-06-14,4.65,4.75,4.56,4.56,50217000.0
2018-06-18,4.47,4.63,4.44,4.63,18651000.0
2018-06-19,4.58,4.59,4.42,4.58,21316000.0
2018-06-20,4.52,4.65,4.52,4.6,18159000.0
