Date,Open,High,Low,Close,Volume
2018-01-03,328.60001,330.0,328.20001,330.0,597570.0
2018-01-04,330.79999,331.20001,327.0,327.0,446310.0
2018-01-05,327.0,329.20001,325.0,329.20001,368560.0
2018-01-08,329.0,329.60001,327.0,328.0,205820.0
2018-01-09,328.0,330.0,325.0,328.20001,280170.0
2018-01-10,329.60001,334.0,329.60001,334.0,846630.0
2018-01-11,334.0,334.0,325.0,325.0,213050.0
2018-01-12,325.20001,331.0,325.20001,331.0,287790.0
2018-01-15,329.0,334.0,329.0,333.79999,159270.0
2018-01-16,333.60001,336.79999,330.0,336.79999,287470.0
2018-01-17,336.79999,336.79999,330.0,330.79999,377770.0
2018-01-18,330.60001,330.79999,325.60001,326.39999,376350.0
2018-01-19,330.39999,332.39999,326.79999,330.0,180950.0
2018-01-22,329.0,334.39999,329.0,331.79999,192620.0
2018-01-23,331.79999,336.0,331.0,336.0,237600.0
2018-01-24,335.0,335.0,331.39999,333.79999,211790.0
2018-01-25,332.79999,337.60001,332.79999,337.60001,241300.0
2018-01-26,337.60001,337.60001,332.0,335.0,120030.0
2018-01-29,332.0,337.79999,332.0,337.79999,270600.0
2018-01-30,336.0,337.79999,333.0,337.79999,295240.0
2018-01-31,334.0,338.60001,333.0,338.60001,376550.0
2018-02-01,338.60001,338.60001,330.60001,333.0,332140.0
2018-02-02,333.0,336.20001,332.0,336.20001,301540.0
2018-02-05,331.20001,331.39999,324.79999,327.0,359020.0
2018-02-06,324.60001,324.60001,316.60001,318.0,461420.0
2018-02-07,319.0,329.79999,319.0,327.0,308060.0
2018-02-08,327.20001,327.20001,320.39999,322.0,251320.0
2018-02-09,320.0,320.60001,316.39999,318.0,275280.0
2018-02-12,318.0,321.0,317.79999,318.0,200000.0
2018-02-13,318.79999,323.0,318.79999,323.0,185210.0
2018-02-14,320.0,323.0,320.0,323.0,273180.0
2018-02-15,320.20001,322.0,319.0,322.0,67130.0
2018-02-19,323.0,330.0,323.0,330.0,189670.0
2018-02-20,330.0,330.60001,323.20001,330.60001,166400.0
2018-02-21,330.0,330.79999,327.0,330.0,185930.0
2018-02-22,329.79999,329.79999,320.20001,320.20001,256020.0
2018-02-23,319.0,324.0,319.0,319.20001,279080.0
2018-02-26,319.39999,321.0,319.20001,320.0,263340.0
2018-02-27,321.0,327.0,321.0,327.0,291360.0
2018-02-28,327.0,336.60001,322.0,336.60001,537470.0
2018-03-01,336.60001,336.60001,326.0,329.0,426320.0
2018-03-02,327.20001,334.39999,326.0,334.39999,161310.0
2018-03-05,332.60001,332.60001,325.0,325.0,371640.0
2018-03-06,326.0,334.0,326.0,334.0,253050.0
2018-03-07,334.0,334.0,328.0,333.0,234040.0
2018-03-08,330.0,333.0,328.0,331.0,227730.0
2018-03-09,330.0,330.39999,325.0,327.20001,223200.0
2018-03-12,328.0,330.60001,328.0,330.0,190520.0
2018-03-13,328.79999,334.0,328.79999,334.0,242330.0
2018-03-14,332.0,334.0,329.0,334.0,181570.0
2018-03-15,333.79999,333.79999,329.0,330.0,386270.0
2018-03-16,329.79999,335.0,326.0,335.0,837210.0
2018-03-19,332.39999,332.39999,328.79999,329.0,145640.0
2018-03-20,329.0,329.39999,325.79999,326.0,456420.0
2018-03-21,326.0,330.0,324.0,325.39999,253300.0
2018-03-22,326.0,330.60001,325.60001,330.0,627810.0
2018-03-23,320.0,325.0,311.20001,325.0,359030.0
2018-03-26,325.0,325.0,317.39999,320.0,297420.0
2018-03-27,320.0,328.0,320.0,328.0,197040.0
2018-03-28,327.79999,327.79999,318.0,318.0,350150.0
2018-04-02,320.0,326.0,320.0,326.0,151980.0
2018-04-03,325.0,325.0,321.60001,324.0,91640.0
2018-04-04,324.0,324.79999,322.39999,324.20001,97520.0
2018-04-05,324.0,324.0,322.0,323.39999,102680.0
2018-04-06,323.39999,323.79999,320.79999,322.60001,124060.0
2018-04-10,318.0,326.0,318.0,323.60001,380220.0
2018-04-11,325.0,328.0,325.0,328.0,161740.0
2018-04-12,328.0,328.0,324.0,325.0,228230.0
2018-04-13,325.0,327.79999,320.79999,321.79999,359130.0
2018-04-16,323.0,326.79999,322.0,325.0,270970.0
2018-04-17,322.20001,325.0,320.60001,324.0,181850.0
2018-04-18,326.79999,327.79999,325.39999,327.60001,242160.0
2018-04-19,321.0,327.0,317.60001,319.79999,561860.0
2018-04-20,321.60001,324.0,320.0,321.60001,113760.0
2018-04-23,321.60001,323.60001,321.20001,323.0,100760.0
2018-04-24,322.79999,322.79999,316.60001,319.39999,131690.0
2018-04-25,317.0,320.20001,307.0,307.0,441670.0
2018-04-26,307.0,307.39999,291.39999,295.79999,456310.0
2018-04-27,298.79999,314.39999,296.20001,314.20001,493190.0
2018-04-30,314.39999,322.0,310.79999,322.0,397050.0
2018-05-02,320.0,329.79999,319.39999,329.79999,489800.0
