symbol,market,lag1_autocorrelation,significant_95,test_start,test_end,n_test
NVDA,US,-0.09368018169695896,False,2025-05-27,2026-09-02,320
MSFT,US,0.09032773095642478,False,2025-05-27,2026-09-02,320
AAPL,US,0.07648507874504692,False,2025-05-27,2026-09-02,320
COST,US,0.04231467939265046,False,2025-05-23,2026-09-02,320
V,US,-0.09042446929333187,False,2025-05-23,2026-09-02,320
AVGO,US,0.022921472160285568,False,2025-05-27,2026-09-02,320
DIS,US,-0.08452526075923075,False,2025-05-23,2026-09-02,320
KO,US,-0.043323359813748775,False,2025-05-23,2026-09-02,320
JNJ,US,0.05814247060804043,False,2025-05-23,2026-09-02,320
XOM,US,0.019625956620245327,False,2025-05-23,2026-09-02,320
PFE,US,0.0019234514765373869,False,2025-05-23,2026-09-02,320
WMT,US,0.07447361120061657,False,2025-05-27,2026-09-02,320
T,US,0.10614076827695934,False,2025-05-23,2026-09-02,320
KHC,US,-0.040514172661472156,False,2025-05-23,2026-09-02,320
F,US,0.05321575371800954,False,2025-05-27,2026-09-02,320
PYPL,US,0.03226037137055131,False,2025-05-27,2026-09-02,320
BA,US,-0.02019680774689,False,2025-05-23,2026-09-02,320
NKE,US,-0.020318245591956698,False,2025-05-27,2026-09-02,320
SPY,US,-0.0644065350761215,False,2025-05-27,2026-09-02,320
PSE:ICT,PH,-0.22805799469756421,True,2025-05-29,2026-09-03,310
PSE:CNPF,PH,-0.19320029953695408,True,2025-05-29,2026-09-03,310
PSE:AREIT,PH,-0.2563472415456662,True,2025-10-15,2026-09-03,215
PSE:MER,PH,-0.16459927751913161,True,2025-05-29,2026-09-03,310
PSE:BPI,PH,-0.23642344075167065,True,2025-05-29,2026-09-03,310
PSE:BDO,PH,-0.21431140744396962,True,2025-05-29,2026-09-03,310
PSE:GLO,PH,-0.04054460942316586,False,2025-05-29,2026-09-03,310
PSE:PGOLD,PH,-0.08105338101357287,False,2025-05-29,2026-09-03,310
PSE:TEL,PH,-0.10792622539612096,False,2025-05-29,2026-09-03,310
PSE:MBT,PH,-0.21128784208802873,True,2025-05-29,2026-09-03,310
PSE:SM,PH,-0.14458057236295555,True,2025-05-29,2026-09-03,310
PSE:AEV,PH,-0.17967797159356622,True,2025-05-29,2026-09-03,310
PSE:SMPH,PH,-0.157407423175837,True,2025-05-29,2026-09-03,310
PSE:EW,PH,0.030463954223089028,False,2025-05-29,2026-09-03,310
PSE:MEG,PH,-0.16323987581555552,True,2025-05-29,2026-09-03,310
PSE:URC,PH,-0.10763549783382573,False,2025-05-29,2026-09-03,310
PSE:ALI,PH,0.010781507444750732,False,2025-05-29,2026-09-03,310
PSE:PSEI,PH,-0.1718101281988494,True,2025-05-29,2026-09-03,310
