symbol,market,max_drawdown,lag1_autocorrelation,test_start,test_end,n_test
NVDA,US,-0.20214395225048065,-0.09368018169695896,2025-05-27,2026-09-02,320
MSFT,US,-0.34498393535614014,0.09032773095642478,2025-05-27,2026-09-02,320
AAPL,US,-0.137985497713089,0.07648507874504692,2025-05-27,2026-09-02,320
COST,US,-0.19346927106380463,0.04231467939265046,2025-05-23,2026-09-02,320
V,US,-0.20377704501152039,-0.09042446929333187,2025-05-23,2026-09-02,320
AVGO,US,-0.28665995597839355,0.022921472160285568,2025-05-27,2026-09-02,320
DIS,US,-0.24969440698623657,-0.08452526075923075,2025-05-23,2026-09-02,320
KO,US,-0.07886523753404617,-0.043323359813748775,2025-05-23,2026-09-02,320
JNJ,US,-0.10959135740995407,0.05814247060804043,2025-05-23,2026-09-02,320
XOM,US,-0.2011229693889618,0.019625956620245327,2025-05-23,2026-09-02,320
PFE,US,-0.15724334120750427,0.0019234514765373869,2025-05-23,2026-09-02,320
WMT,US,-0.233414888381958,0.07447361120061657,2025-05-27,2026-09-02,320
T,US,-0.2888542711734772,0.10614076827695934,2025-05-23,2026-09-02,320
KHC,US,-0.23185771703720093,-0.040514172661472156,2025-05-23,2026-09-02,320
F,US,-0.23394520580768585,0.05321575371800954,2025-05-27,2026-09-02,320
PYPL,US,-0.4992285966873169,0.03226037137055131,2025-05-27,2026-09-02,320
BA,US,-0.24961362779140472,-0.02019680774689,2025-05-23,2026-09-02,320
NKE,US,-0.5015798807144165,-0.020318245591956698,2025-05-27,2026-09-02,320
SPY,US,-0.08884953707456589,-0.0644065350761215,2025-05-27,2026-09-02,320
PSE:ICT,PH,-0.14216145873069763,-0.22805799469756421,2025-05-29,2026-09-03,310
PSE:CNPF,PH,-0.39024388790130615,-0.19320029953695408,2025-05-29,2026-09-03,310
PSE:AREIT,PH,-0.1856827735900879,-0.2563472415456662,2025-10-15,2026-09-03,215
PSE:MER,PH,-0.3371597230434418,-0.16459927751913161,2025-05-29,2026-09-03,310
PSE:BPI,PH,-0.3822697103023529,-0.23642344075167065,2025-05-29,2026-09-03,310
PSE:BDO,PH,-0.31326770782470703,-0.21431140744396962,2025-05-29,2026-09-03,310
PSE:GLO,PH,-0.20385725796222687,-0.04054460942316586,2025-05-29,2026-09-03,310
PSE:PGOLD,PH,-0.2252451479434967,-0.08105338101357287,2025-05-29,2026-09-03,310
PSE:TEL,PH,-0.2400001883506775,-0.10792622539612096,2025-05-29,2026-09-03,310
PSE:MBT,PH,-0.1935897171497345,-0.21128784208802873,2025-05-29,2026-09-03,310
PSE:SM,PH,-0.3867403268814087,-0.14458057236295555,2025-05-29,2026-09-03,310
PSE:AEV,PH,-0.33698612451553345,-0.17967797159356622,2025-05-29,2026-09-03,310
PSE:SMPH,PH,-0.30297043919563293,-0.157407423175837,2025-05-29,2026-09-03,310
PSE:EW,PH,-0.27698859572410583,0.030463954223089028,2025-05-29,2026-09-03,310
PSE:MEG,PH,-0.1508622169494629,-0.16323987581555552,2025-05-29,2026-09-03,310
PSE:URC,PH,-0.4347826838493347,-0.10763549783382573,2025-05-29,2026-09-03,310
PSE:ALI,PH,-0.5739129185676575,0.010781507444750732,2025-05-29,2026-09-03,310
PSE:PSEI,PH,-0.14416655898094177,-0.1718101281988494,2025-05-29,2026-09-03,310
